name, id
Albania, 5FuuvFDE1GUh138tXzhXi6
Algeria, 5AwXHaHjXeAdViA0fYX4Wh
American Samoa, 2YNIPamEKWQoNVPoNLd2G3
Andorra, 4zC6qGZob8zf8H9Kmgbw2Q
Angola, 3JnjjO0fon5SSwXcdVhQRX
Antigua & Barbuda, 3HdzSW3dV1BaZR5XYBhzlX
Argentina, 6fv5nMucCr4JLbanpHmVA5
Armenia, 60XDgHfPVx9WXUP9O1RHmR
Aruba, 18GksoTO5FqA1CbjoaOdni
Australia, 2XVNjIYqXmzPbneYemRrix
Austria, 0gCqClabjS49E3IvPxJmXe
Azerbaijan, 4NDIAkYbzUWScRh0crPKbK
Bahamas, 1FdYRIF1GpCptaXKp7ca1O
Bahrain, 7x0kIKsRAdKfP1SxsppsED
Bangladesh, 72KZpp6ui4v9iXBTBZPMB5
Barbados, 7LoDph8nD8uRwu77Zq2H7R
Belarus, 7lg52VtBfC7daJUEZbtFV3
Belgium, 3WY9ZhUBxQXjI9ipQbR6kL
Belize, 6gtymdOz6shoH3vN1fK0lS
Benin, 1GSAB1hJ4p38f2rpz4gi4y
Bermuda, 0uj820JppKBU7KqEbPMHcZ
Bolivia, 1vzZRy7kp4rn7ZgV0RdP8p
Bosnia and Herzegovina, 3gtnhLgAZePOlwgiPoI5L0
Botswana, 2aLWRHWJj3mzUO75EMWpJi
Brazil, 5KHbclM6e6EVONQirubFMO
Brunei, 4Kd4i3stVrzE2pWU78O7iZ
Bulgaria, 0feZbPn3DcsrLAF26CeNmp
Burkina Faso, 1upqVXKn7BuswXCCupMoLU
Cambodia, 2oUQQHDWQ6HQJ7ohJJLBNi
Cameroon, 6jGOLPKsOq6j8C6u4OyjTh
Canada, 7EeZTIWCXCGbeiEclJoBBn
Cape Verde, 6PS3TBDIMFmli3UBzaFRPo
Cayman Islands, 7KhsiSmFTqUTSLJOfgbWoG
Chile, 0BpFdlssgmbxj5dkamrqC0
China, 1otAiOltVxRirrrH50hfWx
Colombia, 0nK6y27PHOAsWc24VchHNb
Congo (Kinshasa), 3jOQww7EbDJERoxVRYJgz7
Cook Islands, 285QHXkARgx7TXMoZZsT5q
Costa Rica, 65kdQo5kDLvb1971RY8pOy
Côte D'Ivoire, 0TRVhOLs0gqIlP720UTscY
Croatia, 0znxuqGLZY1gcMH8Uogbd4
Curaçao, 6WVXWpUmK1sKu8EbFVQZyd
Cyprus, 7vPrsJST9BMQs5iiap4HU1
the Czech Republic, 4E4rfKvIvM58k9owC7GeJt
Denmark, 7c0IjW5MmngEjLm9ii7LeT
the Dominican Republic, 0Kh97QBYQ8OtUI8Mk8U09a
Ecuador, 4E34NzKniK1FSSu33ZbVCS
Egypt, 3dM8mbIAa94xP71GdAWfPD
El Salvador, 5cgHq0FJENtKQq1GlGtt8c
Estonia, 23RHAc40tjPnFXHbNuxajM
Ethiopia, 6aWM2l8JzGMoR4VuDqxtnu
Faroe Islands, 6O7hmkU1oS9lqBsSpn8nxZ
Fiji, 3nCUQ7NHV01i6XG38EP65s
Finland, 4qsbirgyCjBlQXKAf68H1V
France, 0TM63udBodwHZE7jCXw5Pc
French Guiana, 60fjjwwVhGklrO3OIsJhe6
French Polynesia, 3uMAiVgMuM3PsFmPtutZAx
Georgia, 5PCcQdReoRSZ9acHBWyUX9
Germany, 4L6pZ0ihP6RN35WcyvZQJB
Ghana, 6zvs325lRproQd0Sd83oQg
Gibraltar, 01xdwC8r6jJJgubrvhVywF
Greece, 6x4EFVW8OpaVtP1HZY6QeH
Greenland, 4hqG74mqEBGajG2n82zgpn
Grenada, 1nonBHCcnaFsw4KxIqLtjf
Guadeloupe, 1Isre44J8fM4T4fjvmFc4S
Guam, 6GjDEbRT1DnPPd9R2NYoPo
Guinea, 03Gd3YZklN0Seh6MusfXVo
Guatemala, 07iV0530DfwvE1458hYCsD
Guernsey, 5I38C9agTQDLrZ6u1435VJ
Guyana, 5KKYYriK3Wx8rMXbS4x12A
Haiti, 6gpIsAC2MgSlUbnfeEmhDk
