song_id,artist,title,country,lyrics
4l0O19WwpjzbDGkdFtkQ6W,Ozuna,Vacia Sin Mi,ES,
2n675wYwoWe0F5jOXlmfcR,M-22,How Does It Feel,GB,
7a5evkTxWo5KUDNaGwehio,Capri Claw,CouPe,NL,
4dFKPbYREXgK2WFjOkah5V,Nusky,Super-héros,FR,
3A3RjHuY54KIM2QCbuTEWQ,Boulevard des Airs,Tout le temps,FR,
6g8Waa9vcFQP1FElldjfRr,Djadja & Dinaz,Possédé,FR,
4sus2E6y4UfUF4PqiCG8Ed,Slimane,Nous deux,FR,
4o1WgQUgs5nIxuoEfLZyVm,Sound Of Legend,Tell Me Why - Radio Edit,FR,
1F46LaY3gYpvL2r534FeWs,Gusttavo Lima,Respeita o Nosso Fim - Ao Vivo,BR,
2p8yzBihO2pDFXGPHS3Okh,Zé Neto & Cristiano,Derreter a Aliança - Ao Vivo,BR,
0y1Cn8jcLCr5fJvvO35zuN,Capital Inicial,À Sua Maneira (De Música Ligera) - Ao Vivo,BR,
13UuCiJPWwDopyS5nhgBkm,PNL,Abonné,FR,
0VtZcncUVCAMmbYlxb84Wo,Dimatik,Giratina - Original Mix,SE,
2vD1hN8Oxqfh4umefOVIqP,Hov1,Mandy Moore,SE,
1lB616rkdZugq00Ftf51WB,Eddie Meduza,Ragga runt,SE,
2v5s1nLQS6Z78a4QxxHoQY,BEK & Wallin,Valiant 2017,SE,
74ak5c3OqvJl012AcN99d1,Solguden & Mannen,Akuten,SE,
02SIrgJ1hGU4iRwbmcJysI,Cleber & Cauan,João Dorflex - Ao Vivo,BR,
2OjDT32GWe4UHMFghhVOHZ,Hugo & Guilherme,Tô Com uns Rolos Aí - Ao Vivo,BR,
6QMPzYhqjhoK5v4Vx1PWzQ,Xand Avião,Casal Raiz - Ao Vivo,BR,
78zQod0uqH9aeSEEAUNsRc,Leiva,El Gigante de Big Fish,ES,
1hzT6QSmg5phzqL2oz3QQ9,IZAL,Bill Murray,ES,
4twmehYjvXshw3ViIypIrn,Bustamante,Dos Hombres Y Un Destino - Dúo Con Axel,ES,
53GuGDwZqQUA9kATFaV7sS,Elilluminari,Perra,ES,
23fxTQ1cNZgnPkZbjjHcVw,DJ Fresh,Gold Dust - Radio Edit,GB,
0eyQxoN253QerKLy6A3Atg,Chris Bo,Kings Cross 2019,NO,
68OPjIlmc4fb55tDBnTfCU,Sondre Justad,Riv i hjertet,NO,
4Iqp4qGISBe2QmLuzTzd00,Plumbo,Digger deg,NO,
0ibOC3p3Ad46NH9hEdbJQP,Vidar Villa,Jenter,NO,
6qR5LhQ3vWE3qYhbaTWrUS,Tunge Ferrari,Hakkebakkeskogen 2017 Guttasnekk,NO,
63omHp6JgKEqhJaHsIQVUu,Baby K,Voglio ballare con te (feat. Andrés Dvicio),IT,
6IdiuMw1FSAvU3e6bgWQVX,Coez,È sempre bello,IT,
7sBZKHE9WPR0reNbXO9sQ2,Quentin40,666GAP (feat. Fabri Fibra) - (prod. Dr. Cream),IT,
681fNvwhF5pF9sYiiOycPp,Ermal Meta,Vietato morire,IT,
15RkfR1Zr8dkeiccPJt1t1,Play69,OH JA,DE,
2r7WE6q2PO0IEnjHBbPyq9,Caballero & JeanJass,Forcing,FR,
3blImI79YHccN73O9XTjIo,Nusky,Appelle-Moi,FR,
5Bj9llJ7xr70Ny2nWiSM6G,PNL,Celsius,FR,
3V7BEQHVDEoAA5G7kSxLgS,Jok'air,Nos souvenirs (feat. Chilla & Yseult),FR,
5Dj45c1qB3tCmevdPqvD4f,Lomepal,Beau la folie,FR,
4PlQjmh328M3fWh6PmA7O7,DOXX,Tristesse,FR,
4vuVhL3A5wlbWeoA96zZKm,Nekfeu,Humanoïde,FR,
5C0fYbHvoz5rKBHFH7YWT6,Guizmo,Attendez-moi,FR,
22PAOqU51MHxGjb8K2gnnx,Sirap,Delete,FR,
78DktVruMrKYyv6rjdKDMM,Ninho,Elle m'a eu,FR,
3VAmXdzSNXU0tLJJGhdb3e,Rodriguinho,Já Deu Pra Notar / Melhor Eu Ir - Ao Vivo,BR,
7vcpmUiMmJ50uxTffr6QKa,Vitinho,Em Suas Mãos,BR,
2loApP0kPaim0BTDVP9F26,Anitta,Movimento da sanfoninha - Ao vivo,BR,
4JxvECbZ3Oes1eUrmhQNSH,Bonez MC,Prominent,DE,
42fc5VBREGZjgnjVo9Cq9p,Mamo,Kongelig,NO,
5SjcVISlq6dkQ99MxnplqU,Melkers,The Night Show 2020,NO,
0mShyS41390VhywAbqEUoz,Daddy Snill,NONE OF YOUR BUSINESS 2019,NO,
29U1QideuKlXCh04jKEn6t,Junior,See Ya,NO,
5myWZXb4T01UruaIzQqYmj,Mayhem,Gudfaren 2019,NO,
1kq6i9hBFIR7wfC3GK3uJc,Dutty Dior,PROBLEMER,NO,
77FYBDyXPHMq2CqSxQfBP5,Tore Oellingrath,Barnehagen 2019,NO,
1DuOzk2enp8r5276r7nKNs,Boujee,Minkpels (Major Key 2017),NO,
4hGnXpdYjRnwRtKd8JWvd9,Ballinciaga,Figaro 2019,NO,
4tzr7p4bZ9CvDcsG5elgec,Dr. Disco,Dustheads 2019,NO,
1TbWGaFW3BoFyQJjR7WZ8i,612,Papir,NO,
52NfRcfpuzRHuh70VBGX8H,Juur,Wintertime 2019,NO,
