song_id,artist,title,country,lyrics
2cX3Om7xlCQxKRYo1ofvOM,Alu Mix,Le Encanta,MX,
0M9vPH1vUOhK8TVVFQzX2f,Uzielito Mix,Niña Buena,MX,
2Ulyr7Y5DFPnH7Qo3qxvFL,Michael G,Tibiri Tabara - feat. Uzielito Mix,MX,
6EJadbufi05YD8vQb98Poq,Cheo Andujar,Dia Tras Dia,MX,
733FRL9y0I7Pm1QZBeMm6X,Sir Speedy,Como Mi Nena No Hay (feat. Master Joe y O.G. Black),MX,
6v7445IeNm2rwJIeEoIGz1,Pablito Mix,Ay Pablito Qué Rico! (feat. Mawe),MX,
6DLw8XuzlhReXiM2ZUI7m7,Stiv,Fin de Semana,MX,
5S4pezCIx9zIz1xRVcdOOP,DJ Antena,De Tin Marin,MX,
68QtlyBrzD98s4phcL1fx2,RD Maravilla,El Goloso,MX,
4BXXTruUHBXHQoSbvTDQR4,Big Metra,Desnudate,MX,
04Z1kXHqFMUlllVnGOM9I7,Byakko,"Pena De Amor (feat. Sonyc, Robbie, & & Jirvis)",MX,
2QMhGGf1lgvq6ZdO19yEnZ,Grupo Controversia,Almas Gemelas,MX,
6lW3Zxh9wBch3cNrTMicSq,DJ Cobra Monterrey,Sueltate el Dembow,MX,
5ZA9ItQp7DyG6pPkSsq3Bn,Septeto Acarey,Eres Mi Sueño,MX,
6WjFV9P2MAebV1c2Inp6tK,Mafu Crew,Slow Bow,MX,
0ZQEvvPjwHeASV8reFI1At,El Predicador,Lola,MX,
662E0RMa6XGHqctB0F4SpW,Salon Victoria,Si Tu Boquito Fuera,MX,
4jGSfblxObklndcGJprEoa,La Tremenda Korte,Tanto amor me marea,MX,
7wL7mQUpStsapIkNuy0d2Z,Panteon Rococo,Arréglame el Alma - En Vivo,MX,
1dU383l2TLND7OfsFzSbrE,Liran' Roll,Yo Quiero Ser,MX,
1QyPYtnOVwmprWCjVgPo1Q,She's A Tease,Why?,MX,
1kaLpH5uG4l7RbLKYU7bF5,Tex Tex,Te Vas A Acordar De Mi,MX,
6ram1WqaIPZvAcnJDMfhZk,Reggaeton bachata Hit,Tu Pones La Hora Y Yo Te Caigo,MX,
65WjBIcNE1IhzbQ07WyU8l,Eloy,Dembowholic,MX,
4OnOwfpbZCwHnFNDqgjOuS,Maldita Vecindad Y Los Hijos Del 5to. Patio,Solín,MX,
0ykwpOJjcAa6qKkK8P9TLF,Triciclo Circus Band,Adiós adiós,MX,
5a5elpJpYrugFlVgbpNHUs,Alnz G,Todo El Fin,MX,
5BSYu3CEg0L9sDBNXOwKTk,Diablos Locos,Si No La Tengo,MX,
5BNZcuyCkcBNIhF2DmQlWf,Tino El Pingüino,Fractúbela,MX,
2hntX3w48OucbEqoLoDnPZ,El Haragán y Compañía,El No Lo Mato,MX,
2UjcMFyEhvunXzblOdWh85,$6 Million Dollar Weirdo,Horror Amor,MX,
38dh5S5WL7U7haWDtFG6Mu,DJ Pedro Fuentes,Sucia,MX,
6c0JTabkOhxiIrl9J3Xuy6,J-King y Maximan,Bambua,MX,
6UBl1NDlUjc4vU3tXr3oQz,Kenny y los Eléctricos,No Huyas De Mi,MX,
6wGH5DubI46XGN7JoSUOZ6,Luciano DJ,Intro Teléfono Perreo Rkt - feat. Mister Remix,MX,
0jhtqu6qU7UU4qEfQuv634,Cumbias Poblanas,Las Amo a Las Dos,MX,
6xygm1WDRIBDVjHFOYSygg,La Banda Baston,No Me Porto Bien,MX,
6imxKxbwy0GI2nU5tfIs27,Charlie Monttana,Vaquero Rockanrolero,MX,
4hK2rfRJloj1iOeUriA9Yn,Cumbia Sonidera,El Baile De San Juan - G. La Chomba,MX,
44x3n7BvCwcKw6ANKHP3dd,Ronald El Killa,Bandida,MX,
5ZmcmyNb0C7q6FnKfk4MgN,Mr. Grillo,Bajo la Luna - Hagamos el Amor,MX,
1Aj0gpdepO9Esy7yH2gvej,Sonideros de MEX USA,Tus Jefes No Me Quieren,MX,
4rU0PHummLWtI4Y1IhP7WQ,Hansel,¿Qué Pasó?,MX,
1uw8IYZgMOYjmcPjtEwCrI,Mandy,Que Paso Ayer,MX,
1bAKqVOcR0VmoGaQwPnzCa,Cumbias Epcm,Amor a Primera Vista (Cumbia Ecuatoriana),MX,
4dLBiOu6BXGaEL8ByICR6Q,Yiyo Sarante,Corazon de Acero,MX,
6h4YWETL6DAEKpeSr0CaGu,Liran' Roll,Quien Te Cantara,MX,
1U8O8ZjjM4b7ROyOPQonDj,Karatula,Al Final Lloré,MX,
26PUtHbbVfcRnoGmnWxVTy,Comisario Pantera,No Es Por Ti,MX,
355xHIQqiFgob4Yy6wF7vz,Karly y Yoe,Parties de Escuela,MX,
0WUTVzd7Liz1YYl40Mq56A,Nigga,Dejala,MX,
4k8A9pwl4R562JnNnRSjnL,Sekta Core,Fantasma de la Rana,MX,
5NMZE12L2aUiiHDjgzeYGI,Quiero Club,Minutos de Aire,MX,
7mjrsSbmQfubagRLXUTVWR,Grupo Cañaveral De Humberto Pabón,Vuelvo A Sentir,MX,
4K7tsUqnU0oevgHszISemt,Zona Rika,Voy Pa' Allá,MX,
1dkGPPewLZjer3U2pQGIOK,Plastilina Mosh,Pervert Pop Song,MX,
5Jgo5cDlZaz2JlZgHEgbgN,Lng Sht,Romcom,MX,
0OetABPUScaS7hXcUAfhoT,La Montra,Donde Están las Atrevidas - Toma Toma Toma,MX,
0MYP3aoAnQboUrNQ12dcFR,Santaferia,Tomando Alcohol,CL,
2NItmgHAUnsICEWIY5DQmj,La Combo Tortuga,Te Vuelvo a Ver,CL,
6NdwQ9WlP2fOTc2etE0YDK,Sonora 5 Estrellas,Supermandoneao,CL,
4qQ5S7epEa2ExyE0nSmXWt,La Gran Magia Tropical,Furia Loca,CL,
0Q1xQLuG7ztqA0FdojOCPj,Luis Lambis,Ya Te Olvidé,CL,
2zVkQBc220Acc5Ie41uR40,Los Charros De Lumaco,Charros para Rato,CL,
4wwnBngbXBTeMlauFJ3dAF,Forest,Andamos De Pana - Remix,CL,
7Lfp553u5K9VDEpdIgGtpJ,Grupo Alegria,Mujeres y Cerveza,CL,
1BUtlHw09bzZXdEyjobaI0,Shamanes Crew,Amor De Luto,CL,
0zsbeQtP0KZ9hXabeCHqo2,Noche de Brujas,Oyeme,CL,
0nApFXPoSanA4n7j563Ind,Moral Distraida,Hacerlo de Día,CL,
2kXjQNAuP4dBb8gb1xO39E,Garras de Amor,Báilalo,CL,
0ZyKs32GmHqUgEMB4phZtF,Los Vasquez,Miénteme una Vez,CL,
1gSofvTtSnqskFhBQIzaU9,Tiro De Gracia,Melaza - Remaster 2004,CL,
6kp5CzGjsCI2Vcalfcn6CG,Dash Y Cangri,Un Chance,CL,
6ntuD3ofO39wHlPqu27p0M,Maria Jose Quintanilla,Fue Dificil,CL,
14yYVlxDi7orbwheBXqIPt,Yiordano Ignacio,Mambo Para Los Presos,CL,
7yMBR5y3KIYNIprrlc0jT8,La Rosa,Si Yo Fuera El,CL,
2p34HFPU10LkEekwkUKMzS,Amar Azul,No Quiero Dormir,CL,
2zUvNMEE2tAGlxmVa52BAc,Denise Rosenthal,Cambio De Piel,CL,
0rHdsAq6qtSTdwJW4luqyW,La Pozze Latina,Chica Eléctrica,CL,
7tAsEaXdXgCiwUdBZ77Dwq,Sol y Lluvia,En un Largo Tour,CL,
0FddoqOIEVpCSWinKYNjlP,El Bloque 8,Te Veo en Línea,CL,
7Efl38yKPpMdl5mxFTrvpE,Los Rancheros de Río Maule,De Paisano a Paisano,CL,
74pZISz60vXLxF8qndud8b,Megapuesta,Quédate Aquí,CL,
1BscZ2HLq6kgQwBmRmO8mq,Kevin Martes 13,Su Corte,CL,
