,location,artist,title,song_id
0,Mexico City MX,Alu Mix,Le Encanta,cX3Om7xlCQxKRYo1ofvOM
1,Mexico City MX,Uzielito Mix,Perreo Que Te Vuelve Loca,8eFISo4m37yTdLeJzVdqn
2,Mexico City MX,Cheo Andujar,Dia Tras Dia,EJadbufi05YD8vQb98Poq
3,Mexico City MX,Michael G,Tibiri Tabara - feat. Uzielito Mix,Ulyr7Y5DFPnH7Qo3qxvFL
4,Mexico City MX,Sir Speedy,Como Mi Nena No Hay (feat. Master Joe y O.G. Black),33FRL9y0I7Pm1QZBeMm6X
5,Mexico City MX,Stiv,Fin de Semana,DLw8XuzlhReXiM2ZUI7m7
6,Mexico City MX,Pablito Mix,Ay Pablito Qué Rico! (feat. Mawe),v7445IeNm2rwJIeEoIGz1
7,Mexico City MX,DJ Antena,De Tin Marin,S4pezCIx9zIz1xRVcdOOP
8,Mexico City MX,RD Maravilla,El Goloso,8QtlyBrzD98s4phcL1fx2
9,Mexico City MX,Jamsha,En 20 Uñas (feat. Don Chezina),J8u0TbIYsn2Ezm6AMc4r6
10,Mexico City MX,Grupo Polo Montañes,Un Sueño Y Nada Mas,bVisOYbfWI29XxWEdTKSX
11,Mexico City MX,Byakko,"Pena De Amor (feat. Sonyc, Robbie, & & Jirvis)",4Z1kXHqFMUlllVnGOM9I7
12,Mexico City MX,Grupo Controversia,Almas Gemelas,QMhGGf1lgvq6ZdO19yEnZ
13,Mexico City MX,Big Metra,Desnudate,BXXTruUHBXHQoSbvTDQR4
14,Mexico City MX,Los Estramboticos,La Herida,vQfzyjQFHQ208JCNjcE5H
15,Mexico City MX,DJ Cobra Monterrey,Sueltate el Dembow,lW3Zxh9wBch3cNrTMicSq
16,Mexico City MX,Mafu Crew,Slow Bow,WjFV9P2MAebV1c2Inp6tK
17,Mexico City MX,Septeto Acarey,Eres Mi Sueño,ZA9ItQp7DyG6pPkSsq3Bn
18,Mexico City MX,El Predicador,Lola,ZQEvvPjwHeASV8reFI1At
19,Mexico City MX,La Castañeda,Cenit,hLo5Dg74PGHjSbcP6tNOr
20,Mexico City MX,Maskatesta,Tu Que Pediras,84Ztj2XGMvoWKILVJGasd
21,Mexico City MX,Salon Victoria,Si Tu Boquito Fuera,62E0RMa6XGHqctB0F4SpW
22,Mexico City MX,Panteon Rococo,Arréglame el Alma - En Vivo,wL7mQUpStsapIkNuy0d2Z
23,Mexico City MX,DLD,Por Siempre,FLSb8CJwrcfXfzfD4ySji
24,Mexico City MX,Los De Abajo,Skapate,mGNPivC5BpTowR3NF45bD
25,Mexico City MX,La Tremenda Korte,Tanto amor me marea,jGSfblxObklndcGJprEoa
26,Mexico City MX,Eloy,Dembowholic,5WjBIcNE1IhzbQ07WyU8l
27,Mexico City MX,J-King y Maximan,Bambua,c0JTabkOhxiIrl9J3Xuy6
